l,Uniform,Gauss,SRFT,SRHT
10,0.0180325031280517,0.0178514957427978,0.0345367908477783,0.0343922615051269
20,0.0287993431091308,0.0311999320983886,0.0536660194396972,0.056160020828247
40,0.0689488887786865,0.0717771530151367,0.0983998298645019,0.0992002010345459
60,0.133816480636596,0.134751272201538,0.173966312408447,0.171721267700195
80,0.195999670028686,0.197603416442871,0.253704071044921,0.254197931289672
100,0.27403073310852,0.264983749389648,0.332412385940551,0.333503198623657
200,0.498783111572265,0.504313659667968,0.594534873962402,0.598539638519287
300,0.631433725357055,0.63237919807434,0.921200037002563,0.919151782989501
400,0.71479058265686,0.717602682113647,1.08884305953979,1.08959927558898
500,0.74462513923645,0.747242832183837,1.21644430160522,1.22086963653564
