target_rank,p_val,q_val,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9
10,0,0,0:00:01.530571,0:00:01.541551,0:00:01.419937,0:00:01.498514,0:00:01.528268,0:00:01.518823,0:00:01.499821,0:00:01.529764,0:00:01.512204,0:00:01.476506,0.07106059365576561,0.0446081865249044,0.07597662913843031,0.11033087761576407,0.05239463380400722,0.03294643407416024,0.07034888175342602,0.10032558685970733,0.08581215134876408,0.03677194776524455
10,0,1,0:00:01.632858,0:00:01.664275,0:00:01.662030,0:00:01.625008,0:00:01.621605,0:00:01.665262,0:00:01.620786,0:00:01.660133,0:00:01.670844,0:00:01.642295,0.010048731505721524,0.013254703085293138,0.00536031630590059,0.013452782181257178,0.04200543572805335,0.005485200475489061,0.005095439664515496,0.004201545115516907,0.0404177367481195,0.0046460276969292145
10,0,2,0:00:01.811735,0:00:01.766990,0:00:01.867361,0:00:01.751343,0:00:01.764595,0:00:01.864938,0:00:02.136277,0:00:01.938092,0:00:01.923335,0:00:02.016824,0.004058232424417135,0.0035514575064823253,0.003538986919733716,0.005770764348332146,0.0028834003539205217,0.0039073479341852095,0.005164413128605392,0.003006799040937613,0.0029744118991745605,0.015459881988771714
10,0,3,0:00:01.983384,0:00:01.895285,0:00:01.969759,0:00:01.852731,0:00:01.787031,0:00:01.827851,0:00:01.803141,0:00:01.795744,0:00:01.766331,0:00:01.865822,0.003575331261720045,0.0028837277976486867,0.0027056909964191436,0.0026467648098078157,0.002890180667773767,0.0025913781315987532,0.0026960667847660703,0.004594654106288733,0.0034070792193220917,0.0033840347127085855
10,2,0,0:00:01.610078,0:00:01.602177,0:00:01.703182,0:00:01.563272,0:00:01.544051,0:00:01.561559,0:00:01.528285,0:00:01.458290,0:00:01.539340,0:00:01.568757,0.02893212533411691,0.03214190909790671,0.026062431868697708,0.02882406899009844,0.043302358273043774,0.022409771026626318,0.03936933777380661,0.030216846995237925,0.020036689144580535,0.038270687011388346
10,2,1,0:00:01.724657,0:00:01.699406,0:00:01.680593,0:00:01.761144,0:00:01.698512,0:00:01.695455,0:00:01.711869,0:00:01.655135,0:00:01.663639,0:00:01.730566,0.00975692531552641,0.0022554358728019436,0.0032758259164161973,0.0032777998660273337,0.005381472446923756,0.0022721145790557166,0.00236620867723048,0.0023493534817619565,0.003001509287945279,0.0023189350066541038
10,2,2,0:00:01.979592,0:00:02.141100,0:00:02.035497,0:00:01.837012,0:00:01.935918,0:00:02.004658,0:00:02.002677,0:00:01.818536,0:00:02.015155,0:00:01.748488,0.0022741961279366067,0.002248530971433926,0.0022540472928045253,0.002262843044401645,0.002254623954996395,0.0022579832033496894,0.002254809565758351,0.0022840454292315142,0.0022571340175867377,0.0022601154680727954
10,2,3,0:00:02.054831,0:00:02.098002,0:00:02.008970,0:00:02.215331,0:00:02.093404,0:00:02.015603,0:00:02.100149,0:00:02.089010,0:00:02.235489,0:00:02.179528,0.0022563057130097395,0.0022626087607576636,0.002255660332927089,0.002251155009204599,0.002258629250320731,0.002241496130338493,0.0022594813006357557,0.002262030373951035,0.002255723694166326,0.002265857330097351
10,5,0,0:00:01.775451,0:00:01.790773,0:00:01.726148,0:00:01.698346,0:00:01.619363,0:00:01.645700,0:00:01.591367,0:00:01.833610,0:00:01.640647,0:00:01.677420,0.01561591102223848,0.012865415114600754,0.011628571604289428,0.008066093205680091,0.03405062137318667,0.007892094391898636,0.006106134024989366,0.009934910953060415,0.014582820792202602,0.007250322037023442
10,5,1,0:00:01.719393,0:00:01.725041,0:00:01.710112,0:00:01.279246,0:00:01.037980,0:00:01.038001,0:00:01.041597,0:00:01.047088,0:00:01.041169,0:00:01.036588,0.00230442602432918,0.0022562872422452144,0.002255050624833758,0.0022551322216853246,0.0022545985006594267,0.002254897512336988,0.0022557792847468254,0.0022550253836663204,0.0022557622911039458,0.002270676232014746
10,5,2,0:00:01.136524,0:00:01.125000,0:00:01.122672,0:00:01.118000,0:00:01.127617,0:00:01.125631,0:00:01.119581,0:00:01.128008,0:00:01.126953,0:00:01.121560,0.0022547532709268126,0.0022547481923163412,0.0022547963040181794,0.002253902819414141,0.002254538755834595,0.00225489407125704,0.002254888804606433,0.0022548145514114967,0.0022547336791928466,0.002256137262107813
10,5,3,0:00:01.221756,0:00:01.216795,0:00:01.209155,0:00:01.197965,0:00:01.196000,0:00:01.211555,0:00:01.202969,0:00:01.208110,0:00:01.204219,0:00:01.201614,0.002254872673619888,0.002254874170606219,0.0022548187808389434,0.002254292190212627,0.002254910753282041,0.002254850490172669,0.0022548520144857124,0.002254824058329385,0.002254605811551663,0.0022547734965643854
10,8,0,0:00:00.967001,0:00:00.978548,0:00:00.980525,0:00:00.996566,0:00:00.974934,0:00:00.980932,0:00:00.970042,0:00:00.975996,0:00:00.974000,0:00:00.972987,0.004061516198862997,0.005751979025720141,0.0055717652154597674,0.005520680767576346,0.003549060160930676,0.006045105367722289,0.006981729408048542,0.004731955717294159,0.004551250808160409,0.004642834194115496
10,8,1,0:00:01.068005,0:00:01.096005,0:00:01.064954,0:00:01.069613,0:00:01.070932,0:00:01.081534,0:00:01.078867,0:00:01.097609,0:00:01.065678,0:00:01.067153,0.0022542719196660213,0.0022542932056342883,0.0022543010212146496,0.0022542714449210956,0.0022543440761341516,0.0022543165373420603,0.0022544363505361043,0.0022544282993336158,0.002254362579708668,0.0022544481062140593
10,8,2,0:00:01.154092,0:00:01.153174,0:00:01.158001,0:00:01.158107,0:00:01.160200,0:00:01.158000,0:00:01.158138,0:00:01.160000,0:00:01.151000,0:00:01.164181,0.0022542777963319655,0.002254382383248581,0.002254326136637636,0.0022542676067659573,0.0022544221867491746,0.00225441060962314,0.0022542721680461446,0.002254336422894292,0.002254408928924417,0.002254416207503217
10,8,3,0:00:01.262611,0:00:01.260515,0:00:01.282124,0:00:01.250000,0:00:01.248000,0:00:01.244000,0:00:01.265618,0:00:01.246000,0:00:01.248000,0:00:01.241000,0.002254305215641554,0.0022543732457635233,0.0022543700245293186,0.002254393848762178,0.0022542726782493042,0.002254415475440601,0.002254352480020655,0.0022542668244639207,0.0022542659673297654,0.0022542641670086844
10,10,0,0:00:00.977164,0:00:00.981363,0:00:00.967675,0:00:00.979172,0:00:00.981000,0:00:00.972002,0:00:00.977000,0:00:00.975450,0:00:00.974175,0:00:00.983001,0.0025812407054054717,0.002338127094877512,0.0023158043875148742,0.0026738304185485885,0.0027221815895234545,0.0030807688709385437,0.004120850586158785,0.002876162098160611,0.004047424168662046,0.0029861688342099515
10,10,1,0:00:01.070885,0:00:01.073199,0:00:01.096070,0:00:01.079230,0:00:01.084106,0:00:01.072600,0:00:01.073893,0:00:01.077387,0:00:01.078146,0:00:01.080001,0.0022542942482959493,0.002254301852913741,0.0022542937529433957,0.002254279343878915,0.0022543109855920236,0.0022542621995597714,0.002254267928191943,0.002254275269389157,0.0022543017772244387,0.0022542784381423633
10,10,2,0:00:01.172548,0:00:01.185653,0:00:01.170630,0:00:01.175563,0:00:01.180296,0:00:01.173103,0:00:01.173258,0:00:01.174217,0:00:01.173001,0:00:01.174000,0.0022542758427991708,0.002254294606159098,0.002254281642414884,0.002254301487972462,0.002254286040425333,0.0022542828335287654,0.002254277872910402,0.0022542826421943856,0.0022542947206143104,0.00225427127034118
10,10,3,0:00:01.263001,0:00:01.272622,0:00:01.311056,0:00:01.313000,0:00:01.284000,0:00:01.453152,0:00:01.294653,0:00:01.336640,0:00:01.317276,0:00:01.341328,0.002254292884526348,0.0022543005562074454,0.002254269586382109,0.0022542971571943514,0.0022542983031050676,0.0022542753464274735,0.0022542715480269255,0.0022542968754341044,0.0022542969221870765,0.002254270955351871
20,0,0,0:00:01.178155,0:00:01.137338,0:00:01.116207,0:00:01.131598,0:00:01.087169,0:00:01.103661,0:00:01.091623,0:00:01.099930,0:00:01.097652,0:00:01.092662,0.003865275277626512,0.003943131684629885,0.003927143556222386,0.0026321494669545122,0.00319300580253272,0.002053389974039629,0.004284414079886753,0.005625582422386762,0.0032176248845057287,0.003491248724039279
20,0,1,0:00:01.207536,0:00:01.214376,0:00:01.192371,0:00:01.200784,0:00:01.202768,0:00:01.196335,0:00:01.194988,0:00:01.198491,0:00:01.188538,0:00:01.190645,0.0004483039978851069,0.0005203239756990981,0.0015730235199222032,0.00025430704366173016,0.0009424392514651056,0.0002154654060245695,0.0005852595469785717,0.0003517667893573954,0.002282175842905913,0.0007815937806049824
20,0,2,0:00:01.297685,0:00:01.293106,0:00:01.295220,0:00:01.298664,0:00:01.290903,0:00:01.297867,0:00:01.302616,0:00:01.283141,0:00:01.296001,0:00:01.309875,0.00011139696553018146,0.00012755747309590494,0.00014413097302923901,0.00016372707242050006,9.710593512127145e-05,0.0001813784982038282,0.00029475861834944885,0.00016781967412281192,7.951572897489431e-05,0.0001014625138791332
20,0,3,0:00:01.402971,0:00:01.405073,0:00:01.401985,0:00:01.398238,0:00:01.399232,0:00:01.405003,0:00:01.400356,0:00:01.397052,0:00:01.415169,0:00:01.390878,7.76767722121112e-05,8.364717208715676e-05,0.00015873826017891458,0.0001053762195519702,0.00016489795368608215,9.666984282856796e-05,8.577336898693032e-05,0.00011023809599223557,7.940437205952979e-05,0.00016874504500764115
